P9;"Does the national strategy/policy outline measures to support the reuse of open data by the private sector?

For Explanation:
* If yes, please briefly describe the measures.";yes;"The information policy report 'Report on Ethical Information Policy in an Age of Artificial Intelligence' (https://vm.fi/en/information-policy-report) covers both public and private sector, while emphasizing equal access to data and stressing the ethical development of artificial intelligence. Open data is inferred as one of the enablers for developing artificial intelligence based on open information and technologies, and as one of the future development potentials with further open data policies.

In accordance with the Prime Minister Marin's Government Programme 2019, the Government has continued resolutely the earlier efforts to open up public information resources for public and private sector use. The Ministry of Finance and Statistics Finland have jointly drew up quality criteria that can facilitate the use of such resources (https://www.stat.fi/org/tiedon-laatukehikko/index_en.html). A recommendation of the Information Management Board related to the quality criteria is currently being prepared (https://www.lausuntopalvelu.fi/FI/Proposal/Participation?proposalId=59eadc66-f50a-426a-abab-6808e777b6de).

The Ministry of Finance’s project ‘Opening Up and Using Public Data’ (2020-2022) promoted wider and more effective use of public data throughout society, both public and private sector, and strengthened and concretised these information policy and strategy goals (https://vm.fi/en/opening-up-and-using-public-data). The project enhanced the use and share of public data in order to support the data holders and publishers.";Complement;Yes;"The information policy report 'Report on Ethical Information Policy in an Age of Artificial Intelligence' (https://vm.fi/en/information-policy-report) covers both public and private sector, while emphasizing equal access to data and stressing the ethical development of artificial intelligence. Open data is inferred as one of the enablers for developing artificial intelligence based on open information and technologies, and as one of the future development potentials with further open data policies.

In accordance with the Prime Minister Marin's Government Programme 2019, the Government has continued resolutely the earlier efforts to open up public information resources for public and private sector use. The Ministry of Finance and Statistics Finland have jointly drew up quality criteria that can facilitate the use of such resources (https://www.stat.fi/org/tiedon-laatukehikko/index_en.html). 

The Ministry of Finance’s project ‘Opening Up and Using Public Data’ (2020-2022) promoted wider and more effective use of public data throughout society, both public and private sector, and strengthened and concretised these information policy and strategy goals (https://vm.fi/en/opening-up-and-using-public-data). The project enhanced the use and share of public data in order to support the data holders and publishers.";;;;;;
P10-a;"Does the national strategy/policy mandate carrying out and maintaining a data inventory by public bodies, whether at national or local level?

For Explanation:
* If yes, please briefly specify.";yes;"The mandate to describe and maintain a data inventory is a part of statutory task of maintaining the Information Management Model for the most of the public sector bodies since 2021. According to the Act on Information Management in Public Administration (906/2019, https://www.finlex.fi/fi/laki/kaannokset/2019/en20190906.pdf), each of public sector information management entity shall maintain an information management model, which defines and describes the information management in its operating environment. The Information Management Model is maintained to design and implement the management of services, consideration, and datasets; to implement the rights and restrictions relating to access to information; to decrease multiple collection of information; to implement the interoperability of information systems and information pools; and to maintain information security. The Ministry of Finance of Finland maintains the Public Sector Information Management Map, which describes the data resources to utilise and the procedures for accessing data from the data resources (https://www.exploreadministration.fi/information-management-map-of-public-administration/).

The Act on the Openness of Government Activities (621/1999, https://www.finlex.fi/en/laki/kaannokset/1999/en19990621) mandates the catalogues listing the data inventories to be published as open data. These catalogues give an indication on what each data or information repository holds, for example the City of Vantaa's catalogues of information systems (https://hri.fi/data/fi/dataset/vantaan-kaupungin-tietojarjestelmaluettelo). The dataset provides a list of all information systems in use at the city and information on system ownership, technical responsibility and a brief description of each information system.

The GDPR has also necessitated that all data providers review their data storages and identify personal data for the GDPR coverage, and as part of this review, build the necessary metadata to be able to properly catalogue and identify the data for each data repository.

To make the descriptive metadata of these models and lists better semantically interoperable, data holders and model maintainers, from both public and private sector, can utilise the Interoperability Platform (https://dvv.fi/en/interoperability-platform), a workbench and a set of tools, for defining and describing interoperable data content. The platform consists of glossaries, code sets and data models needed for data flows and in other areas of information management. The tools and the existing data specifications are available free of charge for terminology work, management of code sets, and data modelling. Data content producers are responsible for their own data specifications and their quality, and for keeping them up to date.";Confirm;;;;;;;;
P10-b;"Do these data inventories include the data collected by public bodies that cannot be published as open data (e.g. in relation to the EU Data Governance Act (EU) 2022/868)? 

For Explanation:
* If yes, please briefly specify.";yes;"The Information Management Model includes both the open data and the data resources not available or possible to publish as open data. According to the Act on Information Management in Public Administration (906/2019, https://www.finlex.fi/fi/laki/kaannokset/2019/en20190906.pdf) each of public sector information management entity shall maintain an information management model, which defines and describes the information management in its operating environment. 

The catalogues listing the data inventories according the Act on the Openness of Government Activities (621/1999, https://www.finlex.fi/en/laki/kaannokset/1999/en19990621) includes information systems needed, whether the data included in them is open or not.";Complement;Yes;"The Information Management Model includes both the open data and the data resources not available or possible to publish as open data. According to the Act on Information Management in Public Administration (906/2019, https://www.finlex.fi/fi/laki/kaannokset/2019/en20190906.pdf) each of public sector information management entity shall maintain an information management model, which defines and describes the information management in its operating environment. 

The single contact point for protected data as required by the DGA (EU) 2022/868 is located at https://suojattudata.suomi.fi/ 

The catalogues listing the data inventories according the Act on the Openness of Government Activities (621/1999, https://www.finlex.fi/en/laki/kaannokset/1999/en19990621) includes information systems needed, whether the data included in them is open or not.";;;;;;
P11;"Is your country applying the implementing regulation (EU) 2023/138 on high-value datasets?

For Explanation:
* If yes, how is it progressing? 
* If you are an EFTA or a candidate country to the EU, please select 'not applicable'.
** In the table below, please indicate your progress with respect to a) organisation, b) legal aspects, c) technical aspects on a scale from 1 to 5. 1 = no progress; 2 = few progress; 3 = some progress; 4 = considerable progress; 5 = works are finalised.";new question;new question;Change;Yes;"The HVD regulation is mostly implemented at this time; not all datasets have had their metadata updated yet to reflect their status as HVD. In addition we have challenges related to Planned Land Use/Regional Planning datasets as the data is maintained by 300+ municipalities and local authorities with varying levels of expertise and resources.";;;;;;
;Categories of high-value datasets;Answers  2024;;Degree of progress (from 1 to 5);;;;;;;;
;;Organisational progress;Legal progress ;Technical progress ;Technical progress ;Technical progress ;Technical progress ;Technical progress ;;;;
;;Setting up new roles and workflows;Addressing legal barriers;Identification and inventory of high-value datasets;Publication of high-value datasets in machine-readable formats via APIs;Publication of high-value datasets as bulk download, where relevant;Standardised means to structure, describe, access high-value datasets;Ensuring metadata availability and quality;;;;
P11-a;Geospatial;4;5;5;4;4;4;3;;;;
P11-b;Earth observation and environment;5;5;5;4;4;4;3;;;;
P11-c;Meteorological;5;5;5;5;5;5;3;;;;
P11-d;Statistics;5;5;5;5;5;5;3;;;;
P11-e;Companies and company ownership;5;5;5;5;5;5;3;;;;
P11-f;Mobility;5;5;5;5;5;5;3;;;;
P12;"Have the public bodies in your country denoted relevant datasets as high-value datasets in their metadata following the publication of the implementing regulation (EU) 2023/138 on high-value datasets?

For Explanation:
*  If yes, please specify how and highlight challenges, if any. 
* If you are an EFTA or a candidate country to the EU, please select 'not applicable'.";new question;new question;Change;Yes;"Example: https://www.paikkatietohakemisto.fi/geonetwork/srv/fin/catalog.search#/metadata/ffd96434-d508-42db-a6af-bde8cc7db250

There have been challenges understanding the HVD requirements and their relationship to INSPIRE requirements, as well as figuring out the best way to implement the requirement as the HVD regulation does not specify a precise technical requirement, rather there's just the ""unofficial"" DCAT-AP recommendation";;;;;;
;1.2 Governance of open data;;;;;;;;;;;
P13;"Is there a governance structure in place that enables the participation and/or inclusion of various open data stakeholders? 

For Explanation:
*  If yes, please briefly describe the governance structure and its operating model ";new question;new question;Change;Yes;"The governance model is three-pronged, formed by the Information Management Board of Public Administration, the Ministry of Finance, and the sector-specific Ministries.

The Board is appointed by the government for a term of four years at a time, and is composed of members who have expertise in information management, the transparency requirements of public documents, IT systems, data pools, interoperability and statistical methods. The Ministry of Finance provides the secretariat of the Board. The Board's task is to promote best practices in applying the Act on Information Management in Public Administration and report on its application to the government biannually. The Board is also tasked with evaluating the application of the Open Data Directive's requirements nationally.

The Ministry of Finance is responsible for directing the interoperability of public administration datasets and information systems, and maintaining the Information Management Map of public administration, as well as creating general guidelines.

Sector-specific Ministries are responsible for keeping the Information Management Map up to date for their sector and providing sector-specific guidelines on interoperability.

";;;;;;
P14;"How would you classify the model used for governing open data in your country? 

For Explanation:
*  Please briefly explain why this model was chosen/works best for your country";hybrid;"Open data governance in the public administration is arranged as a part of common information management governance. The Act on Information Management in Public Administration (906/2019, https://www.finlex.fi/fi/laki/kaannokset/2019/en20190906.pdf) creates a common governance model and instruments to steer, encourage and support public administration's information management including open data. A specific open data governance model is not included in the act. Thus, open data is considered to be an integrated part of any organisation’s or information management entity’s work flow or data resources. 

Governance of publishing data is out of the act’s scope and publishing processes are regulated, among other statutes, by the Openness of Government Activities Act (621/1999 with amendments, https://www.finlex.fi/en/laki/kaannokset/1999/en19990621). It provides for the general right to access any official document, including electronic records, in the public domain held by public authorities and private bodies that exercise public authority. Restrictions apply to non-official documents, documents relating to foreign affairs, criminal investigations, police matters, information concerning military intelligence and the armed forces, as well as confidential business activities.

The roles and tasks of self-governance takes place naturally on the various levels of public administration and public sector activities. When it comes to the municipalities, they enjoy wide autonomy secured by the law. One of the challenges of this approach is total 309 muncipalities with local governments, majority having a population of less than 20,000 inhabitants.

The national open data portal, Opendata.fi, focuses on guidance and assistance of data providers rather than trying to carry out or organise the various efforts to open data.";Complement;Hybrid;"Open data governance in the public administration is arranged as a part of common information management governance. The Act on Information Management in Public Administration (906/2019, https://www.finlex.fi/fi/laki/kaannokset/2019/en20190906.pdf) creates a common governance model and instruments to steer, encourage and support public administration's information management including open data. A specific open data governance model is not included in the act. Thus, open data is considered to be an integrated part of any organisation’s or information management entity’s work flow or data resources. 

Governance of publishing data is out of the act’s scope and publishing processes are regulated, among other statutes, by the Openness of Government Activities Act (621/1999 with amendments, https://www.finlex.fi/en/laki/kaannokset/1999/en19990621). It provides for the general right to access any official document, including electronic records, in the public domain held by public authorities and private bodies that exercise public authority. Restrictions apply to non-official documents, documents relating to foreign affairs, criminal investigations, police matters, information concerning military intelligence and the armed forces, as well as confidential business activities.

As a result of the constitutional order in Finland, an all-encompassing top down structure is not viable. The roles and tasks of governance takes place naturally on the various levels of public administration and public sector activities, as municipalities, welfare counties and central government authorities have independence and autonomy in applying and interpreting law. 

The national open data portal, Opendata.fi, focuses on guidance and assistance of data providers rather than trying to carry out or organise the various efforts to open data.";;;;;;
P15;"Does the governance structure ensure that the local and regional open data initiatives are facilitated and supported at national level?

For Explanation:
* If yes, please give an example of what kind of support.
* If not applicable, please explain why.";new question;new question;Change;No;;;;;;;
P16;"To what degree do local/regional public bodies conduct open data initiatives? 

For Explanation:
* If not applicable, please explain why.";few public bodies;The Statistic Finland organises the Datamenestyjät Competition (the Data Success Competition in English). The purpose of the competition is to promote the utilization of information and support the development of society, which is based on reliable information (more information about the competitin in Finnish https://www.stat.fi/tup/datamenestyjat/index.html and the 2021 competition https://www.stat.fi/datamenestyjat-2021). Helsinki Region Infoshare (hri.fi) is an open data service and portal owned by the cities of Helsinki, Espoo, Vantaa and Kauniainen. ;Confirm;;;;;;;;
P17;"Is a document describing the responsibilities and governance structure of the national (and/or regional/local) open data team publicly available?

For Explanation:
* If yes, please provide the URL where this information is published. ";yes;At the local level, for example at the Helsinki region: https://hri.fi/en_gb/hri-service/what-is-hri/operational-areas/ and https://hri.fi/fi/hri-palvelu/mika-hri/ohjausryhma/;Confirm;;;;;;;;
P18;"Is there a regular exchange of knowledge or experiences between the national open data team and the team maintaining the national portal? 

For Explanation:
* If yes, please briefly describe how this exchange takes place and provide evidence supporting your answer (e.g. meeting agendas, URLs to news items).";yes;The steering group for developing the operating model for data sharing and the public administration API principles consists both the staff from the Ministry of Finance and the staff from the Digital and Population Data Services Agency working with the open data issues. The steering group has regular meetings five times a year. Screenshots of the calendar invitations are included.;Change;No;The meetings have been changed to be ad-hoc, since the implementation of the ODD or the HVD regulation no longer require regular meetings. Also given the small size of both teams (one part-time person on the open data team and three part-time people on the portal team), emails are often enough to resolve questions that arise and there is not enough time to allocate for regular meetings.;;;;;;
P19;"Does the governance model include the appointment of official roles in civil services that are dedicated to open data (e.g. open data officers)?

For Explanation:
* If yes, please describe how this task is fulfilled at public body level.";yes;The governance model of the national open data portal does not include regular appointments of official roles of civil service dedicated to the open data. The regular appointments, which can be dedicated to those civil servants as well, are organised in regional administrative level and with the largest cities dedicated civil servants. The cities of Helsinki Metropolitan Area have a joint service (Helsinki Region Infoshare HRI, hri.fi) and several other municipalities have their own dedicated open data officers that assist in and ensure that their respective cities open their data. These officers are also the primary contact points for Opendata.fi stakeholder collaboration. With governmental agencies’ chief data officers or open data officers there is not regularly appointment schedules.;Confirm;;;;;;;;
P20;"Is there a regular exchange of knowledge or experiences between the national open data team and the wider network of open data officers in your country? 

For Explanation:
* If yes, please briefly describe how this exchange takes place and provide evidence supporting your answer (e.g. meeting agendas, URLs to news items).";yes;We have regular (about 4-5 times a year) national open data meetings between national open data team, cities and other open data office. About the goals and frequency of regular meetings between national data team and different open data offices, see for exampe the annual working plan of the Helsinki Region Inforshare HRI for 2022 pages 21 and 22,  https://www.hel.fi/static/hel2/tietokeskus/data/dokumentit/HRI_toiminta_ja_taloussuunnitelma_2022.pdf, in Finnish only.;Confirm;;;;;;;;
P21;"Is there a regular exchange of knowledge or experiences between public sector bodies (i.e. the providers) and open data reusers (e.g. academia, citizens, businesses)?

For Explanation:
* If yes, please briefly describe how this exchange takes place and provide evidence supporting your answer (e.g. meeting agendas, URLs to news items).";yes;"The Digital and Population Data Services Agency with its open data team and national open data portal, opendata.fi, conducts active information exchange with the active players and data owners in the field. And on the regional level, there is different networks and groups sharing information and experiences: The Regional Council of Southwest Finland’s facilitated regional Open Data Network (Avoimen tiedon verkosto, https://varsinais-suomi.fi/kumppanuusfoorumi/kumppanuusfoorumi/ihmiset-ja-yhteisot/avointieto/; https://www.lounaistieto.fi/aluetietofoorumin-2023-teemana-paikkatieto-ja-terveys/; https://www.lounaistieto.fi/category/ajankohtaista/tapahtumat/, in Finnish only) as an example.

Helsinki Region Infoshare arranges regularly meetups / events with open data re-users (https://hri.fi/fi/ohjeet/datan-hyodyntajalle/kehittajayhteistyo/).";Confirm;;;;;;;;
;1.3 Open data implementation;;;;;;;;;;;
P22;"Do data publication plans exist at public body level?

For Explanation:
* If yes, please provide the URL and briefly highlight the key aspects covered. ";yes;On the municipal level, the six largest cities all have their own roadmaps and data publication plans. These are shared and discussed in regular meeting between the 6 largest cities and Opendata.fi. The Helsinki Region Infoshare HRI roadmap covers the data publication plans of the Cities of Helsinki Metropolitan Area: https://hri.fi/en_gb/roadmap/ or in Finnish: https://hri.fi/fi/tyon-alla/, City of Tampere: https://data.tampere.fi/en_gb/roadmap/. In universities opening up research data is seen as a continuos process with guides, rule books  and supportive processes (for example University of Tampere https://research.tuni.fi/researchdata/news/sharing-research-data-supports-sustainable-development/ and guidance https://research.tuni.fi/researchdata/);Confirm;;;;;;;;
